Date,Symbol,Price,Unlocked Supply,Founder / Team,Private Investors,Public Investors,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,tokens_unlocked,unlock_usd_value,insider_owned_float_percentage,daily_supply_increase_percentage
2020-04-21,CTSI,0,232741667,0,1675000,100000000,1675000,0.0,0.0,no unlock,0.0,0.0,0.7196820498840888,
2020-04-22,CTSI,0,232741667,0,1675000,100000000,1675000,0.0,0.0,no unlock,0.0,0.0,0.7196820498840888,0.0
2020-04-23,CTSI,0,232741667,0,1675000,100000000,1675000,0.0,0.0,no unlock,0.0,0.0,0.7196820498840888,0.0
2020-04-24,CTSI,0,232741667,0,1675000,100000000,1675000,0.0,0.0,no unlock,0.0,0.0,0.7196820498840888,0.0
2020-04-25,CTSI,0,232741667,0,1675000,100000000,1675000,0.0,0.0,no unlock,0.0,0.0,0.7196820498840888,0.0
2020-04-26,CTSI,0,232741667,0,1675000,100000000,1675000,0.0,0.0,no unlock,0.0,0.0,0.7196820498840888,0.0
2020-04-27,CTSI,0,232741667,0,1675000,100000000,1675000,0.0,0.0,no unlock,0.0,0.0,0.7196820498840888,0.0
2020-04-28,CTSI,0,232741667,0,1675000,100000000,1675000,0.0,0.0,no unlock,0.0,0.0,0.7196820498840888,0.0
2020-04-29,CTSI,0,232741667,0,1675000,100000000,1675000,0.0,0.0,no unlock,0.0,0.0,0.7196820498840888,0.0
2020-04-30,CTSI,0,232741667,0,1675000,100000000,1675000,0.0,0.0,no unlock,0.0,0.0,0.7196820498840888,0.0
2020-05-01,CTSI,0,232741667,0,1675000,100000000,1675000,0.0,0.0,no unlock,0.0,0.0,0.7196820498840888,0.0
2020-05-02,CTSI,0,232741667,0,1675000,100000000,1675000,0.0,0.0,no unlock,0.0,0.0,0.7196820498840888,0.0
2020-05-03,CTSI,0,232741667,0,1675000,100000000,1675000,0.0,0.0,no unlock,0.0,0.0,0.7196820498840888,0.0
2020-05-04,CTSI,0,232741667,0,1675000,100000000,1675000,0.0,0.0,no unlock,0.0,0.0,0.7196820498840888,0.0
2020-05-05,CTSI,0,232741667,0,1675000,100000000,1675000,0.0,0.0,no unlock,0.0,0.0,0.7196820498840888,0.0
2020-05-06,CTSI,0,232741667,0,1675000,100000000,1675000,0.0,0.0,no unlock,0.0,0.0,0.7196820498840888,0.0
2020-05-07,CTSI,0,232741667,0,1675000,100000000,1675000,0.0,0.0,no unlock,0.0,0.0,0.7196820498840888,0.0
2020-05-08,CTSI,0,232741667,0,1675000,100000000,1675000,0.0,0.0,no unlock,0.0,0.0,0.7196820498840888,0.0
2020-05-09,CTSI,0,232741667,0,1675000,100000000,1675000,0.0,0.0,no unlock,0.0,0.0,0.7196820498840888,0.0
2020-05-10,CTSI,0,232741667,0,1675000,100000000,1675000,0.0,0.0,no unlock,0.0,0.0,0.7196820498840888,0.0
2020-05-11,CTSI,0,232741667,0,1675000,100000000,1675000,0.0,0.0,no unlock,0.0,0.0,0.7196820498840888,0.0
2020-05-12,CTSI,0,232741667,0,1675000,100000000,1675000,0.0,0.0,no unlock,0.0,0.0,0.7196820498840888,0.0
2020-05-13,CTSI,0,232741667,0,1675000,100000000,1675000,0.0,0.0,no unlock,0.0,0.0,0.7196820498840888,0.0
2020-05-14,CTSI,0,232741667,0,1675000,100000000,1675000,0.0,0.0,no unlock,0.0,0.0,0.7196820498840888,0.0
2020-05-15,CTSI,0,232741667,0,1675000,100000000,1675000,0.0,0.0,no unlock,0.0,0.0,0.7196820498840888,0.0
2020-05-16,CTSI,0,232741667,0,1675000,100000000,1675000,0.0,0.0,no unlock,0.0,0.0,0.7196820498840888,0.0
2020-05-17,CTSI,0,232741667,0,1675000,100000000,1675000,0.0,0.0,no unlock,0.0,0.0,0.7196820498840888,0.0
2020-05-18,CTSI,0,232741667,0,1675000,100000000,1675000,0.0,0.0,no unlock,0.0,0.0,0.7196820498840888,0.0
2020-05-19,CTSI,0,232741667,0,1675000,100000000,1675000,0.0,0.0,no unlock,0.0,0.0,0.7196820498840888,0.0
2020-05-20,CTSI,0,232741667,0,1675000,100000000,1675000,0.0,0.0,no unlock,0.0,0.0,0.7196820498840888,0.0
2020-05-21,CTSI,0,232741667,0,1675000,100000000,1675000,0.0,0.0,no unlock,0.0,0.0,0.7196820498840888,0.0
2020-05-22,CTSI,0,232741667,0,1675000,100000000,1675000,0.0,0.0,no unlock,0.0,0.0,0.7196820498840888,0.0
2020-05-23,CTSI,0,232741667,0,1675000,100000000,1675000,0.0,0.0,no unlock,0.0,0.0,0.7196820498840888,0.0
2020-05-24,CTSI,0,232741667,0,1675000,100000000,1675000,0.0,0.0,no unlock,0.0,0.0,0.7196820498840888,0.0
2020-05-25,CTSI,0,232741667,0,1675000,100000000,1675000,0.0,0.0,no unlock,0.0,0.0,0.7196820498840888,0.0
2020-05-26,CTSI,0,232741667,0,1675000,100000000,1675000,0.0,0.0,no unlock,0.0,0.0,0.7196820498840888,0.0
2020-05-27,CTSI,0,232741667,0,1675000,100000000,1675000,0.0,0.0,no unlock,0.0,0.0,0.7196820498840888,0.0
2020-05-28,CTSI,0,232741667,0,1675000,100000000,1675000,0.0,0.0,no unlock,0.0,0.0,0.7196820498840888,0.0
2020-05-29,CTSI,0,232741667,0,1675000,100000000,1675000,0.0,0.0,no unlock,0.0,0.0,0.7196820498840888,0.0
2020-05-30,CTSI,0,232741667,0,1675000,100000000,1675000,0.0,0.0,no unlock,0.0,0.0,0.7196820498840888,0.0
2020-05-31,CTSI,0,232741667,0,1675000,100000000,1675000,0.0,0.0,no unlock,0.0,0.0,0.7196820498840888,0.0
2020-06-01,CTSI,0,232741667,0,1675000,100000000,1675000,0.0,0.0,no unlock,0.0,0.0,0.7196820498840888,0.0
2020-06-02,CTSI,0,232741667,0,1675000,100000000,1675000,0.0,0.0,no unlock,0.0,0.0,0.7196820498840888,0.0
2020-06-03,CTSI,0,232741667,0,1675000,100000000,1675000,0.0,0.0,no unlock,0.0,0.0,0.7196820498840888,0.0
2020-06-04,CTSI,0,232741667,0,1675000,100000000,1675000,0.0,0.0,no unlock,0.0,0.0,0.7196820498840888,0.0
2020-06-05,CTSI,0,232741667,0,1675000,100000000,1675000,0.0,0.0,no unlock,0.0,0.0,0.7196820498840888,0.0
2020-06-06,CTSI,0,232741667,0,1675000,100000000,1675000,0.0,0.0,no unlock,0.0,0.0,0.7196820498840888,0.0
2020-06-07,CTSI,0,232741667,0,1675000,100000000,1675000,0.0,0.0,no unlock,0.0,0.0,0.7196820498840888,0.0
