Date,Symbol,Price,Available Supply,Unlocked Supply,Community Issuance,Team and Advisors,Service Providers,Liquity AG Endowment,Investors,LUSD:ETH Uniswap LPs,Community Reserve
Jul 05 2036,LQTY,0,99999023.44,99999023.44,31999023.44,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jul 04 2036,LQTY,0,99999023.44,99999023.44,31999023.44,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jul 03 2036,LQTY,0,99999023.44,99999023.44,31999023.44,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jul 02 2036,LQTY,0,99999023.44,99999023.44,31999023.44,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jul 01 2036,LQTY,0,99999023.44,99999023.44,31999023.44,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jun 30 2036,LQTY,0,99999023.44,99999023.44,31999023.44,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jun 29 2036,LQTY,0,99999023.44,99999023.44,31999023.44,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jun 28 2036,LQTY,0,99999023.44,99999023.44,31999023.44,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jun 27 2036,LQTY,0,99999023.44,99999023.44,31999023.44,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jun 26 2036,LQTY,0,99999023.44,99999023.44,31999023.44,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jun 25 2036,LQTY,0,99999023.44,99999023.44,31999023.44,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jun 24 2036,LQTY,0,99999023.44,99999023.44,31999023.44,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jun 23 2036,LQTY,0,99999023.44,99999023.44,31999023.44,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jun 22 2036,LQTY,0,99999023.44,99999023.44,31999023.44,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jun 21 2036,LQTY,0,99999023.44,99999023.44,31999023.44,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jun 20 2036,LQTY,0,99999023.44,99999023.44,31999023.44,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jun 19 2036,LQTY,0,99999023.44,99999023.44,31999023.44,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jun 18 2036,LQTY,0,99999023.44,99999023.44,31999023.44,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jun 17 2036,LQTY,0,99999023.44,99999023.44,31999023.44,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jun 16 2036,LQTY,0,99999023.44,99999023.44,31999023.44,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jun 15 2036,LQTY,0,99999023.44,99999023.44,31999023.44,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jun 14 2036,LQTY,0,99999023.44,99999023.44,31999023.44,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jun 13 2036,LQTY,0,99999023.44,99999023.44,31999023.44,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jun 12 2036,LQTY,0,99999023.44,99999023.44,31999023.44,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
